fips,date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,county
9001,2020-03-06,0,1309,0,89,0,182,,,159,0,54,943212,65,,,09001,Fairfield
9001,2020-03-07,0,1309,0,89,0,182,,,159,29,71,943166,81,,,09001,Fairfield
9001,2020-03-08,0,1309,0,89,0,182,,,159,67,92,943106,103,1,,09001,Fairfield
9001,2020-03-09,0,1309,0,89,0,182,2.0065135939,1.0084826585,159,114,118,943030,132,2,,09001,Fairfield
9001,2020-03-10,0,1309,0,89,0,182,2.0265896302,0.7428795849,159,176,152,942931,169,2,,09001,Fairfield
9001,2020-03-11,0,1309,0,89,0,182,2.0438217681,0.6166615386,159,254,195,942805,217,3,,09001,Fairfield
9001,2020-03-12,0,1309,0,89,0,182,2.05833716,0.5374157709,159,355,250,942643,278,5,,09001,Fairfield
9001,2020-03-13,0,1309,0,89,0,182,2.0719212988,0.5392678705,159,484,321,942435,357,8,,09001,Fairfield
9001,2020-03-14,1,1309,0,89,0,182,2.0817399009,0.4960189654,160,649,412,942169,458,15,,09001,Fairfield
9001,2020-03-15,1,1309,0,89,0,182,2.0876048084,0.482778907,160,862,528,941827,587,16,,09001,Fairfield
9001,2020-03-16,2,1309,0,89,0,182,2.0899480383,0.4647819668,160,1134,678,941390,753,29,,09001,Fairfield
9001,2020-03-17,2,1309,0,89,0,182,2.087489945,0.3731155141,160,1482,869,940829,965,48,,09001,Fairfield
9001,2020-03-18,3,1309,1,89,0,182,2.079470445,0.3350160255,160,1929,1114,940110,1237,69,,09001,Fairfield
9001,2020-03-19,4,1309,1,89,0,182,2.0657786619,0.3043274867,160,2501,1428,939190,1584,102,,09001,Fairfield
9001,2020-03-20,5,1309,1,89,1,182,2.045832632,0.3100854095,161,3235,1830,938012,2029,122,,09001,Fairfield
9001,2020-03-21,7,1309,2,89,1,182,2.0197134608,0.2598903379,161,4174,2345,936504,2598,140,,09001,Fairfield
9001,2020-03-22,9,1309,3,89,1,182,1.9906174725,0.2567426208,162,5375,3003,934577,3323,208,,09001,Fairfield
9001,2020-03-23,12,1309,3,89,2,182,1.9519848578,0.1928393611,163,6912,3843,932116,4248,270,,09001,Fairfield
9001,2020-03-24,15,1309,4,89,3,182,1.9080089028,0.1593461043,164,8875,4915,928978,5423,384,,09001,Fairfield
9001,2020-03-25,20,1309,6,89,3,182,1.8598887139,0.1732372063,165,11364,6267,925104,6808,546,,09001,Fairfield
9001,2020-03-26,25,1309,8,89,4,182,1.806931699,0.1307895528,167,14447,7908,920485,8344,607,,09001,Fairfield
9001,2020-03-27,32,1309,10,89,6,182,1.7516058824,0.1121197242,169,18187,9839,915068,10021,752,,09001,Fairfield
9001,2020-03-28,40,1309,12,89,7,182,1.693868396,0.1230135982,172,22633,12054,908839,11804,908,,09001,Fairfield
9001,2020-03-29,50,1309,16,89,9,182,1.6344094718,0.1170839003,175,27818,14528,901828,13631,1245,,09001,Fairfield
9001,2020-03-30,62,1309,19,89,12,182,1.5771167033,0.1047553845,180,33743,17214,894111,15422,1445,,09001,Fairfield
9001,2020-03-31,76,1309,24,89,14,182,1.5203011821,0.1038361047,185,40374,20043,885821,17081,1445,,09001,Fairfield
9001,2020-04-01,90,1309,28,89,17,182,1.4653575245,0.1,191,47631,22912,877148,18497,1986,,09001,Fairfield
9001,2020-04-02,107,1309,34,89,21,182,1.4116788655,0.1,199,55402,25715,868300,19574,2132,,09001,Fairfield
9001,2020-04-03,125,1309,40,89,24,182,1.3616492459,0.0999999999999999,211,63511,28306,859555,20210,2716,,09001,Fairfield
9001,2020-04-04,144,1309,47,89,28,182,1.3140954831,0.1,224,71775,30559,851165,20336,2824,,09001,Fairfield
9001,2020-04-05,163,1309,54,89,31,182,1.2711444762,0.1,239,79982,32343,843385,19908,3050,,09001,Fairfield
9001,2020-04-06,181,1309,60,89,35,182,1.2327128461,0.0999999999999999,256,87916,33543,836442,18918,3719,,09001,Fairfield
9001,2020-04-07,198,1309,67,89,38,182,1.1972710568,0.1,275,95357,34066,830515,17404,4136,,09001,Fairfield
9001,2020-04-08,214,1309,73,89,41,182,1.1666840292,0.0999999999999999,296,102145,33902,825153,15978,4417,,09001,Fairfield
9001,2020-04-09,227,1309,78,89,44,182,1.140314916,0.1,318,108441,33326,819882,14954,4882,,09001,Fairfield
