date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-03-03,0,5456,0,235,0,673,,,749,37,51,3565162,57,,,09000,9000
2020-03-04,0,5456,0,235,0,673,,,749,63,65,3565120,73,,,09000,9000
2020-03-05,0,5456,0,235,0,673,,,749,97,84,3565065,93,,,09000,9000
2020-03-06,0,5456,0,235,0,673,,,749,140,108,3564995,120,,,09000,9000
2020-03-07,0,5456,0,235,0,673,,,749,196,138,3564906,154,0,,09000,9000
2020-03-08,1,5456,0,235,0,673,,,749,267,177,3564791,197,1,29,09000,9000
2020-03-09,1,5456,0,235,0,673,2.1098171165,0.9786615002,749,359,228,3564643,253,1,46,09000,9000
2020-03-10,2,5456,0,235,0,673,2.1278762038,0.7020936642,749,476,292,3564454,325,2,54,09000,9000
2020-03-11,2,5456,0,235,0,673,2.1436435517,0.5474309529,749,627,375,3564212,417,3,71,09000,9000
2020-03-12,3,5456,1,235,0,673,2.156516119,0.4628859252,749,820,481,3563901,535,6,89,09000,9000
2020-03-13,4,5456,1,235,0,673,2.168062476,0.4537792763,749,1068,617,3563502,686,6,99,09000,9000
2020-03-14,5,5456,1,235,1,673,2.1761108446,0.3994943882,749,1386,792,3562990,880,11,125,09000,9000
2020-03-15,7,5456,2,235,1,673,2.1799538899,0.409932002,750,1793,1015,3562334,1129,20,125,09000,9000
2020-03-16,9,5456,2,235,1,673,2.1802437859,0.3925278081,750,2316,1303,3561492,1447,26,125,09000,9000
2020-03-17,11,5456,3,235,2,673,2.1755598807,0.3072773947,750,2987,1671,3560413,1856,41,125,09000,9000
2020-03-18,15,5456,4,235,2,673,2.1657273559,0.2812482867,751,3846,2143,3559029,2380,68,125,09000,9000
2020-03-19,19,5456,6,235,3,673,2.1504182595,0.2452531233,751,4949,2748,3557255,3052,96,604,09000,9000
2020-03-20,24,5456,7,235,4,673,2.1293076188,0.2398002349,752,6361,3523,3554983,3911,194,604,09000,9000
2020-03-21,32,5456,10,235,6,673,2.1025995137,0.2301896927,753,8172,4516,3552071,5012,194,2106,09000,9000
2020-03-22,41,5456,13,235,7,673,2.0739771012,0.1980377526,754,10492,5789,3548342,6421,223,2877,09000,9000
2020-03-23,52,5456,16,235,10,673,2.0349051437,0.157355331,756,13463,7417,3543570,8222,415,4085,09000,9000
2020-03-24,67,5456,21,235,13,673,1.9916624036,0.1178769106,758,17267,9501,3537465,10523,618,4682,09000,9000
2020-03-25,86,5456,27,235,16,673,1.9454889797,0.1312060299,760,22118,12152,3529800,13337,875,5023,09000,9000
2020-03-26,110,5456,35,235,21,673,1.895492047,0.0999999999999999,764,28191,15419,3520552,16512,1012,5625,09000,9000
2020-03-27,140,5456,44,235,27,673,1.8438908347,0.0999999999999999,768,35634,19324,3509565,20057,1291,7109,09000,9000
2020-03-28,177,5456,56,235,34,673,1.7899849027,0.1,773,44591,23880,3496733,23931,1291,7109,09000,9000
2020-03-29,222,5456,70,235,43,673,1.7353855485,0.1,780,55182,29071,3482029,28045,1993,9907,09000,9000
2020-03-30,275,5456,87,235,53,673,1.6830314096,0.1,789,67476,34845,3465515,32265,2571,12029,09000,9000
2020-03-31,337,5456,107,235,65,673,1.6311128517,0.1,799,81477,41096,3447366,36413,3128,13029,09000,9000
2020-04-01,408,5456,129,235,79,673,1.5810676554,0.1,812,97115,47677,3427854,40286,3557,13043,09000,9000
2020-04-02,486,5456,155,235,95,673,1.5320239326,0.1,827,114234,54379,3407384,43637,3824,14476,09000,9000
2020-04-03,571,5456,182,235,112,673,1.4847847434,0.0999999999999999,845,132564,60935,3386473,46218,4914,15101,09000,9000
2020-04-04,665,5456,214,235,130,673,1.4398829511,0.1,870,151772,67062,3365631,47852,5276,16753,09000,9000
2020-04-05,763,5456,249,235,149,673,1.3978682434,0.1,902,171426,72455,3345483,48347,5675,17595,09000,9000
2020-04-06,863,5456,285,235,168,673,1.3586426489,0.0999999999999999,938,191027,76799,3326666,47562,6906,19780,09000,9000
2020-04-07,960,5456,320,235,187,673,1.3208958944,0.1,978,210047,79814,3309750,45458,7781,21255,09000,9000
2020-04-08,1051,5456,355,235,205,673,1.2859474952,0.0999999999999999,1023,228025,81314,3294388,42843,7781,21255,09000,9000
2020-04-09,1135,5456,387,235,222,673,1.2536251116,0.1,1072,245128,81749,3278955,41172,9784,23718,09000,9000
2020-04-10,1209,5456,416,235,237,673,1.2230106296,0.0999999999999999,1125,261667,81596,3263567,40022,10538,25750,09000,9000
2020-04-11,1274,5456,443,235,250,673,1.1943659247,0.1,1181,277805,81116,3248310,39141,11510,28321,09000,9000
2020-04-12,1330,5456,466,235,261,673,1.1672762816,0.1,1240,293612,80420,3233223,38420,12035,29185,09000,9000
2020-04-13,1377,5456,488,235,271,673,1.1416850664,0.1,1302,309144,79606,3218344,37767,13381,30928,09000,9000
2020-04-14,1418,5456,507,235,280,673,1.1173067167,0.1,1366,324415,78707,3203686,37154,13989,31852,09000,9000
2020-04-15,1451,5456,523,235,287,673,1.0938295699,0.1,1433,339441,77751,3189260,36555,14755,35388,09000,9000
2020-04-16,1479,5456,538,235,293,673,1.0714391931,0.0999999999999999,1500,354223,76752,3175074,35958,15884,37238,09000,9000
2020-04-17,1501,5456,550,235,298,673,1.0494725882,0.1,1570,368762,75719,3161132,35360,16809,38653,09000,9000
2020-04-18,1518,5456,561,235,302,673,1.0277448759,0.0999999999999999,1640,383057,74655,3147439,34759,16809,38653,09000,9000
2020-04-19,1531,5456,570,235,305,673,1.0064297837,0.0999999999999999,1711,397106,73564,3133997,34153,17550,40663,09000,9000
2020-04-20,1540,5456,578,235,307,673,0.9848752925,0.1,1784,410906,72451,3120808,33542,19815,42991,09000,9000
2020-04-21,1545,5456,584,235,308,673,0.9640451871,0.1,1856,424451,71312,3107890,32914,20360,43832,09000,9000
