cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
61.99,331.95,37.52,3761.34,317.52,976.11,57.23,7,1,57.54,481.92,3.63,735.1,136.58,466.47,1,,1544.58,724.88,17.26,3351.76,94.63,15.37,6.82,23.91,30,0,2410.16,1,4390.97,29.2,,2020-03-20,0-1
79.53,399.87,46.78,4272.28,374.98,1206.72,71.37,7,1,73.04,573.08,4.48,825.58,173.36,556.62,1,,1927.76,817.1,22.61,3708.51,120.84,19.05,8.5,29.65,30,0,2995.94,1,5128.64,37.72,,2020-03-21,0-1
101.64,472.81,57.26,4869.3,451.19,1477.57,87.42,7,1,91.95,644.99,5.51,831.64,217.04,631.92,1,,2361.29,817.54,29.41,4142.32,152.77,23.26,10.49,36.36,30,0,3562.24,1,5913.88,48.51,,2020-03-22,0-1
129.98,549.57,68.16,5521.09,530.63,1790.27,103.84,7,1,114.68,672.8,6.75,868.3,265.56,663.05,1,,2810.08,856.52,38.21,4659.63,190.49,27.68,12.77,44.04,30,0,3970.46,1,6617,62.52,,2020-03-23,0-1
166.33,517.26,78.3,6180.99,512.49,2144.36,116.97,7,1,141.54,661.29,8.22,780.94,322.39,651.37,1,,3226.33,771.73,50.34,5265.47,233.06,31.84,15.27,52.64,30,0,4221.8,1,7311.89,81.06,,2020-03-24,0-1
211.23,468.42,86.94,6817.52,464.28,2534.04,124.49,7,1,172.67,628.7,9.94,782.97,379.49,620.17,1,,3583.11,770.82,64.05,5959.27,278.69,35.56,17.9,61.91,30,0,4386.67,1,8028.58,105.46,,2020-03-25,0-1
264.43,442.41,93.73,7417.2,438.76,2938.56,127.85,7,1,207.78,583.97,11.94,795.64,431.86,577.22,1,,3871.7,787.39,80.32,6676.03,325.34,38.96,20.6,71.12,30,0,4504.04,1,8665.12,136.79,,2020-03-26,0-1
325.59,410.58,98.37,7970.37,406.69,3311.64,132.12,7,1,245.62,535.05,14.19,786.32,477.34,529.51,1,,4087.78,779.54,102,7354.4,370.95,42.16,23.32,76.43,30,0,4600.78,1,9260.4,175.91,,2020-03-27,0-1
394.38,379.44,100.93,8479.69,393.88,3600.3,142.09,7,1,283.9,494.76,16.66,728.88,515.24,491.74,1,,4239.95,723.35,130.95,7963.61,413.62,45.27,26.04,76.73,30,0,4677.33,1,9837.01,223.27,,2020-03-28,0-1
470.49,363.28,101.87,8960.52,403.88,3793.94,147.46,7,1,320.38,469.22,19.34,673.24,545.69,472.15,1,,4346,668.61,167.84,8386.76,452.01,49.76,28.8,76.67,30,0,4738.46,1,10403.86,278.86,,2020-03-29,0-1
553.54,353.26,101.68,9428.03,413.01,3919.09,149.43,7,1,353.64,454.84,21.98,639.97,569.38,464.62,1,,4423.04,635.98,212.56,8807.08,485.45,55.05,31.62,76.29,30,0,4790.61,1,10964.91,342.37,,2020-03-30,0-1
