model_team,pointNA,target_end_date
epiforecasts.ensemble1,4337,2020-06-20
CovidActNow.SEIR_CAN,,2020-06-22
CovidActNow.SEIR_CAN,,2020-06-23
CovidActNow.SEIR_CAN,,2020-06-24
CovidActNow.SEIR_CAN,,2020-06-25
CovidActNow.SEIR_CAN,,2020-06-26
CovidActNow.SEIR_CAN,,2020-06-27
epiforecasts.ensemble1,4472,2020-06-27
CovidActNow.SEIR_CAN,,2020-06-27
Covid19Sim.Simulator,4353.93321106126,2020-06-28
CovidActNow.SEIR_CAN,,2020-06-28
PSI.DRAFT,4318,2020-06-29
SWC.TerminusCM,4324,2020-06-29
Auquan.SEIR,4332,2020-06-29
CU.nochange,4321,2020-06-29
CU.scenario_high,4321,2020-06-29
CU.scenario_low,4321,2020-06-29
CU.scenario_mid,4321,2020-06-29
CU.select,4321,2020-06-29
Covid19Sim.Simulator,4362.11044627297,2020-06-29
Geneva.DetGrowth,4328.01465270186,2020-06-29
IowaStateLW.STEM,4341,2020-06-29
JHU_IDD.CovidSP,4326.91666666667,2020-06-29
MIT_CovAlliance.SIR,4396.152,2020-06-29
OliverWyman.Navigator,4322.113459,2020-06-29
RobertWalraven.ESG,4351.147,2020-06-29
UA.EpiCovDA,4323,2020-06-29
UCLA.SuEIR,4320.33237989718,2020-06-29
CovidActNow.SEIR_CAN,,2020-06-29
LANL.GrowthRate,4332.4404250412,2020-06-30
MIT_CovidAnalytics.DELPHI,4327,2020-06-30
MOBS_NEU.GLEAM_COVID,4344.08829527088,2020-06-30
NotreDame.mobility,4330.04195804196,2020-06-30
PSI.DRAFT,4325,2020-06-30
SWC.TerminusCM,4328,2020-06-30
UT.Mobility,4330,2020-06-30
Auquan.SEIR,4348,2020-06-30
CU.nochange,4326,2020-06-30
CU.scenario_high,4325,2020-06-30
CU.scenario_low,4326,2020-06-30
CU.scenario_mid,4326,2020-06-30
CU.select,4326,2020-06-30
Covid19Sim.Simulator,4369.8626711863,2020-06-30
Geneva.DetGrowth,4336.33914018731,2020-06-30
IowaStateLW.STEM,4347,2020-06-30
JHU_IDD.CovidSP,4337.57333333333,2020-06-30
MIT_CovAlliance.SIR,4405.3667,2020-06-30
OliverWyman.Navigator,4327.610125,2020-06-30
RobertWalraven.ESG,4364.783,2020-06-30
UA.EpiCovDA,4331,2020-06-30
UCLA.SuEIR,4329.2971955283,2020-06-30
CovidActNow.SEIR_CAN,,2020-06-30
USACE.ERDC_SEIR,4329.41943818961,2020-07-01
CovidActNow.SEIR_CAN,,2020-07-01
LANL.GrowthRate,4340.4756437037,2020-07-01
MIT_CovidAnalytics.DELPHI,4332,2020-07-01
MOBS_NEU.GLEAM_COVID,4354.44900975587,2020-07-01
NotreDame.mobility,4336.68709068709,2020-07-01
PSI.DRAFT,4331.5,2020-07-01
SWC.TerminusCM,4333,2020-07-01
UT.Mobility,4337,2020-07-01
Auquan.SEIR,4362,2020-07-01
