date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-02-27,CT,0,3.28611680772612,3.25348161835596,2.7011856205703,3.70252902208159,12.7274077323174,0,0,0,0,,,
2020-02-28,CT,1,3.28574160390449,3.26953125620602,2.7468665138732,3.71636025211433,0.296499439865893,0,0,0,0,,,
2020-02-29,CT,2,3.27357255560867,3.23873637991147,2.71561665212002,3.63153757905982,4.20765330917416,0,0,0,0,,,
2020-03-01,CT,3,3.26226857391269,3.23133189785691,2.80480888803026,3.6677304847607,8.09055666386675,0,0,0,0,,,
2020-03-02,CT,4,3.24976161534792,3.21924073289529,2.82308731598027,3.65216819697973,9.61813878289841,0,0,0,0,,,
2020-03-03,CT,5,3.23640692503335,3.21424424288349,2.8134143170871,3.5876589924256,11.9213898821048,0,0,0,0,,,
2020-03-04,CT,6,3.20591660091472,3.19072190611261,2.79485019544678,3.53427050092188,15.7292468284063,0.811080949792255,0,0,0,,,
2020-03-05,CT,7,3.17610506666505,3.17559416748919,2.80996725077657,3.48441922304474,20.5689921112131,1.27133080301697,0,0,0,,,
2020-03-06,CT,8,3.13329637703396,3.12455309700556,2.7791516463669,3.42116945424688,26.6371881216232,1.70079527126627,0,0,0,,,
2020-03-07,CT,9,3.07547912784536,3.06162874486203,2.76309691202008,3.38105782547697,34.4715579749375,2.3167012046511,0,0,0,0,0,0
2020-03-08,CT,10,3.00868730651104,2.98681636364692,2.69962304765129,3.29610957296325,44.5306782712675,3.1819843802437,1.67859039986735,1,38,30,1,0
2020-03-09,CT,11,2.93275279013388,2.91453045555349,2.69652101436497,3.25565886759665,57.2685231049436,4.18512589785343,0,0,9,17,0,0
2020-03-10,CT,12,2.84774757632948,2.83796084730375,2.60739915852433,3.13341084918452,73.2475488670097,5.58144090224727,1.67859039986735,1,9,9,1,0
2020-03-11,CT,13,2.74108697125381,2.7421178647528,2.4837769159432,2.95801726607617,93.1121364917187,7.22780669259668,1.67859039986735,1,18,18,1,0
2020-03-12,CT,14,2.63515086256337,2.62844201747543,2.41473303959798,2.87130164475274,117.522546366476,9.42761316948301,5.03577119960206,3,21,21,3,0
2020-03-13,CT,15,2.52591526942158,2.52064569315443,2.31457931803669,2.73498755166446,147.024641710355,12.3331479950687,0,0,10,10,0,0
2020-03-14,CT,16,2.4122920403529,2.40959597792327,2.24117486950837,2.63968853805513,182.140797870449,15.969806955293,8.39295199933676,5,31,31,5,0
2020-03-15,CT,17,2.29753403509373,2.28866428023783,2.08503095314857,2.4373614933058,223.357511577732,20.6964733090414,15.1073135988062,9,9,9,9,0
2020-03-16,CT,18,2.18269575892893,2.18138125882209,2.00658867310843,2.339104090802,270.941367784133,26.7296044972921,10.0715423992041,6,6,6,6,0
